datetime,co,no2,o3,pm10,pm25,so2
2023-03-14 00:00:00+00:00,1.7,33.4,6.25,60.15,43.65,8.45
2023-03-14 01:00:00+00:00,1.05,29.349999999999998,10.45,49.2,37.3,7.699999999999999
2023-03-14 02:00:00+00:00,1.1,26.400000000000002,10.950000000000001,50.45,39.0,5.95
2023-03-14 03:00:00+00:00,1.0,23.35,15.05,33.25,27.1,5.9
2023-03-14 04:00:00+00:00,0.9,21.799999999999997,12.0,31.85,26.9,5.5
2023-03-14 05:00:00+00:00,0.85,20.75,10.049999999999999,35.3,29.65,5.699999999999999
2023-03-14 06:00:00+00:00,1.1,39.3,3.1,23.4,17.8,6.7
2023-03-14 07:00:00+00:00,1.0,35.2,,20.6,16.4,
2023-03-14 08:00:00+00:00,0.9,37.0,8.0,22.5,15.7,7.5
2023-03-14 09:00:00+00:00,,,9.5,18.3,12.1,7.1
2023-03-14 10:00:00+00:00,0.8,24.2,16.4,10.4,6.9,6.7
2023-03-14 11:00:00+00:00,0.44999999999999996,14.100000000000001,43.05,17.6,9.25,6.75
2023-03-14 13:00:00+00:00,0.44999999999999996,13.549999999999999,47.15,13.65,7.0,6.550000000000001
2023-03-14 14:00:00+00:00,0.44999999999999996,12.45,50.65,15.950000000000001,7.1,7.25
2023-03-14 15:00:00+00:00,0.7,13.100000000000001,47.5,17.3,7.65,7.699999999999999
2023-03-14 16:00:00+00:00,0.7,20.8,29.5,27.75,11.3,9.0
2023-03-14 17:00:00+00:00,0.8,23.9,27.35,33.75,15.9,10.45
2023-03-14 18:00:00+00:00,0.9,27.6,18.85,43.45,24.85,11.649999999999999
2023-03-14 19:00:00+00:00,0.9,25.0,27.2,29.5,18.75,13.3
2023-03-14 20:00:00+00:00,0.9,24.85,25.849999999999998,28.75,17.95,11.7
2023-03-14 21:00:00+00:00,0.9,25.25,19.3,28.15,17.9,10.149999999999999
2023-03-14 22:00:00+00:00,0.9,25.6,16.25,27.299999999999997,16.1,9.2
2023-03-14 23:00:00+00:00,0.9,23.85,22.799999999999997,23.3,14.850000000000001,8.7
2023-03-15 00:00:00+00:00,0.9,21.0,31.55,18.75,12.5,8.15
2023-03-15 01:00:00+00:00,,2.7,77.0,16.3,10.3,8.1
2023-03-18 00:00:00+00:00,1.05,28.7,8.55,39.25,31.45,6.050000000000001
2023-03-18 01:00:00+00:00,0.8999999999999999,27.85,12.5,31.2,25.450000000000003,5.8
2023-03-18 02:00:00+00:00,0.8500000000000001,26.150000000000002,11.1,28.8,21.9,5.3
2023-03-18 03:00:00+00:00,0.7000000000000001,24.0,14.25,21.9,17.4,4.9
2023-03-18 04:00:00+00:00,0.75,20.25,12.2,30.35,23.75,6.0
2023-03-18 05:00:00+00:00,0.85,17.55,15.75,31.4,26.200000000000003,5.95
2023-03-18 06:00:00+00:00,0.8,22.599999999999998,14.350000000000001,20.0,16.25,6.050000000000001
2023-03-18 07:00:00+00:00,0.75,29.95,11.5,31.4,23.95,6.5
2023-03-18 08:00:00+00:00,1.2,30.1,13.2,43.15,32.2,7.75
2023-03-18 09:00:00+00:00,1.2,32.6,16.900000000000002,50.55,37.1,8.45
2023-03-18 10:00:00+00:00,0.7000000000000001,30.15,51.1,29.2,22.45,
2023-03-18 11:00:00+00:00,0.65,30.0,33.7,26.25,17.75,7.6
2023-03-18 12:00:00+00:00,0.2,33.15,37.5,23.049999999999997,13.55,13.05
2023-03-18 13:00:00+00:00,0.55,28.95,41.8,13.200000000000001,7.15,8.75
2023-03-18 14:00:00+00:00,0.5,34.75,38.800000000000004,9.350000000000001,5.449999999999999,6.8500000000000005
2023-03-18 15:00:00+00:00,0.5,5.7,41.5,11.65,6.7,6.45
2023-03-18 16:00:00+00:00,0.55,29.049999999999997,4.9,11.350000000000001,7.05,6.300000000000001
2023-03-18 17:00:00+00:00,0.55,34.55,32.45,13.899999999999999,8.3,6.300000000000001
2023-03-18 18:00:00+00:00,0.6,38.75,20.45,24.7,15.899999999999999,7.2
2023-03-18 19:00:00+00:00,0.7,42.0,19.349999999999998,34.15,21.4,7.85
2023-03-18 21:00:00+00:00,0.8,40.400000000000006,6.35,50.3,33.35,8.4
2023-03-18 22:00:00+00:00,1.0499999999999998,41.45,6.5,64.15,46.35,6.550000000000001
2023-03-18 23:00:00+00:00,1.0,38.65,12.600000000000001,51.1,38.9,6.4
2023-03-19 00:00:00+00:00,1.0,37.0,14.4,41.05,31.7,6.3
2023-03-19 01:00:00+00:00,1.0,29.3,10.4,46.95,34.2,5.8
2023-03-19 02:00:00+00:00,1.0,27.0,16.5,42.2,31.6,5.8
2023-03-19 03:00:00+00:00,1.0,5.2,19.35,35.5,27.25,4.8
2023-03-19 04:00:00+00:00,0.85,19.349999999999998,21.75,28.25,22.15,5.2
2023-03-19 05:00:00+00:00,0.9,18.650000000000002,22.25,33.3,26.15,4.85
2023-03-19 06:00:00+00:00,0.85,20.85,19.35,26.2,20.35,4.8500000000000005
2023-03-19 07:00:00+00:00,0.85,24.7,16.75,34.4,27.35,5.05
2023-03-19 08:00:00+00:00,1.2,24.549999999999997,25.650000000000002,23.9,19.65,4.449999999999999
2023-03-19 09:00:00+00:00,1.0,26.1,32.9,20.95,16.549999999999997,7.1
2023-03-19 10:00:00+00:00,1.0,23.55,42.1,15.45,12.2,8.35
2023-03-19 11:00:00+00:00,0.55,24.200000000000003,92.8,12.450000000000001,9.65,
2023-03-19 12:00:00+00:00,0.55,23.900000000000002,49.75,14.75,11.3,6.55
2023-03-19 13:00:00+00:00,0.2,25.200000000000003,48.949999999999996,14.95,11.15,7.45
2023-03-19 14:00:00+00:00,0.55,26.450000000000003,51.25,12.05,8.850000000000001,7.6499999999999995
2023-03-19 15:00:00+00:00,0.55,27.099999999999998,47.3,15.850000000000001,11.55,7.5
2023-03-19 16:00:00+00:00,0.5,27.35,44.5,15.8,10.0,7.55
2023-03-19 17:00:00+00:00,0.55,34.5,2.4,46.15,17.6,8.1
2023-03-19 18:00:00+00:00,0.8500000000000001,43.5,7.8500000000000005,83.0,54.0,10.600000000000001
2023-03-19 19:00:00+00:00,1.1,43.099999999999994,9.45,75.3,55.400000000000006,9.850000000000001
2023-03-19 20:00:00+00:00,1.25,45.1,7.65,72.80000000000001,55.2,9.65
2023-03-19 21:00:00+00:00,1.3,70.4,7.1,62.650000000000006,46.75,9.7
2023-03-19 22:00:00+00:00,1.2,39.8,8.6,54.55,41.45,7.15
2023-03-19 23:00:00+00:00,1.15,35.15,10.700000000000001,47.45,35.4,8.35
2023-03-20 00:00:00+00:00,1.0,31.95,14.3,38.5,27.65,7.25
2023-03-20 01:00:00+00:00,0.95,27.3,17.200000000000003,37.099999999999994,29.25,6.6
2023-03-20 02:00:00+00:00,0.85,23.4,21.25,27.1,21.549999999999997,6.25
2023-03-20 03:00:00+00:00,0.8,22.349999999999998,25.3,28.85,23.95,6.5
2023-03-20 04:00:00+00:00,0.8,2.1,23.75,27.35,23.0,5.75
2023-03-20 05:00:00+00:00,0.8,19.650000000000002,23.0,25.1,20.15,5.6
2023-03-20 06:00:00+00:00,0.75,23.25,14.25,30.75,22.75,6.0
2023-03-20 07:00:00+00:00,0.8500000000000001,34.75,9.85,53.1,33.6,7.4
2023-03-20 08:00:00+00:00,1.3,39.05,7.8999999999999995,58.0,35.599999999999994,7.6499999999999995
2023-03-20 09:00:00+00:00,1.2,16.0,16.1,42.0,25.7,7.6
2023-03-20 10:00:00+00:00,0.7000000000000001,36.3,28.349999999999998,35.35,20.65,7.05
2023-03-20 11:00:00+00:00,0.65,30.700000000000003,39.5,20.55,12.799999999999999,7.3
2023-03-20 12:00:00+00:00,0.55,31.4,83.0,17.45,10.05,
2023-03-20 13:00:00+00:00,0.55,25.05,44.449999999999996,15.950000000000001,9.25,8.149999999999999
2023-03-20 14:00:00+00:00,0.3,30.0,38.7,20.05,9.75,8.05
2023-03-20 15:00:00+00:00,0.55,28.3,40.2,22.05,10.15,8.3
2023-03-20 16:00:00+00:00,0.6,45.3,25.5,62.35,16.25,8.45
2023-03-20 17:00:00+00:00,0.65,43.8,3.3499999999999996,94.9,30.7,8.600000000000001
2023-03-20 18:00:00+00:00,1.0,50.7,2.9,106.5,60.349999999999994,11.7
2023-03-20 19:00:00+00:00,1.25,49.75,5.85,96.2,64.19999999999999,13.3
2023-03-20 20:00:00+00:00,1.25,47.1,6.35,72.5,47.15,11.850000000000001
2023-03-20 21:00:00+00:00,1.4,42.150000000000006,9.05,70.0,49.5,11.15
2023-03-20 22:00:00+00:00,1.2,38.85,17.2,52.4,36.35,10.8
2023-03-20 23:00:00+00:00,0.9500000000000001,40.55,39.1,31.35,23.1,15.1
2023-03-21 00:00:00+00:00,0.8,35.05,46.65,22.75,16.95,15.100000000000001
2023-03-21 01:00:00+00:00,0.75,31.55,42.4,23.2,18.15,14.4
2023-03-21 02:00:00+00:00,0.7000000000000001,28.75,39.199999999999996,21.55,16.15,13.7
2023-03-21 03:00:00+00:00,0.65,21.95,42.55,21.65,16.35,16.4
2023-03-21 04:00:00+00:00,0.6,21.95,43.449999999999996,17.6,13.399999999999999,12.9
2023-03-21 05:00:00+00:00,0.65,21.95,40.8,18.799999999999997,14.75,12.45
2023-03-21 06:00:00+00:00,0.65,22.3,35.15,22.95,16.55,10.45
2023-03-21 07:00:00+00:00,0.65,30.0,22.8,29.4,18.6,19.85
2023-03-21 08:00:00+00:00,1.0,32.6,22.5,31.1,19.8,20.75
2023-03-21 09:00:00+00:00,1.0,34.5,31.5,26.35,16.5,14.8
2023-03-21 10:00:00+00:00,0.6,31.150000000000002,33.75,23.0,14.850000000000001,12.5
