,,,,,,
"Ora 
Hour",A3 (MW),A4 (MW),A5 (MW),B1 (MW),B2 (MW),"DATA 
Date"
1,0,127,124,0,250,01/08/2023
2,0,124,130,0,244,01/08/2023
3,0,129,130,0,250,01/08/2023
4,0,131,131,0,250,01/08/2023
5,0,128,132,0,248,01/08/2023
6,0,130,131,0,245,01/08/2023
7,0,129,130,0,247,01/08/2023
8,0,129,130,0,251,01/08/2023
9,0,133,129,0,250,01/08/2023
10,0,135,125,0,251,01/08/2023
11,0,134,125,0,252,01/08/2023
12,0,134,124,0,252,01/08/2023
13,0,130,125,0,252,01/08/2023
14,0,130,126,0,252,01/08/2023
15,0,130,127,0,253,01/08/2023
16,0,129,123,0,252,01/08/2023
17,0,129,125,0,250,01/08/2023
18,0,128,124,0,249,01/08/2023
19,0,127,125,0,252,01/08/2023
20,0,128,123,0,252,01/08/2023
21,0,123,126,0,252,01/08/2023
22,0,131,121,0,252,01/08/2023
23,0,130,122,0,252,01/08/2023
24,0,131,124,0,248,01/08/2023
1,0,128,125,0,249,02/08/2023
2,0,126,125,0,248,02/08/2023
3,0,128,128,0,250,02/08/2023
4,0,129,128,0,250,02/08/2023
5,0,125,129,0,251,02/08/2023
6,0,132,132,0,250,02/08/2023
7,0,129,133,0,251,02/08/2023
8,0,130,124,0,251,02/08/2023
9,0,132,126,0,250,02/08/2023
10,0,132,130,0,253,02/08/2023
11,0,128,129,0,252,02/08/2023
12,0,128,130,0,252,02/08/2023
13,0,131,136,0,252,02/08/2023
14,0,127,135,0,252,02/08/2023
15,0,129,136,0,251,02/08/2023
16,0,127,130,0,248,02/08/2023
17,0,130,130,0,250,02/08/2023
18,0,129,131,0,249,02/08/2023
19,0,132,128,0,250,02/08/2023
20,0,130,128,0,252,02/08/2023
21,0,131,127,0,250,02/08/2023
22,0,131,130,0,249,02/08/2023
23,0,131,130,0,251,02/08/2023
24,0,129,131,0,250,02/08/2023
1,0,127,129,0,252,03/08/2023
2,0,127,132,0,251,03/08/2023
3,0,131,132,0,251,03/08/2023
4,0,130,132,0,250,03/08/2023
5,0,130,133,0,253,03/08/2023
6,0,130,133,0,252,03/08/2023
7,0,130,130,0,254,03/08/2023
8,0,127,134,0,253,03/08/2023
9,0,133,135,0,251,03/08/2023
10,0,130,135,0,248,03/08/2023
11,0,128,131,0,251,03/08/2023
12,0,128,133,0,251,03/08/2023
13,0,129,131,0,247,03/08/2023
14,0,125,132,0,252,03/08/2023
15,0,126,132,0,250,03/08/2023
16,0,127,132,0,248,03/08/2023
17,0,127,132,0,248,03/08/2023
18,0,130,131,0,244,03/08/2023
19,0,130,131,0,243,03/08/2023
20,0,131,134,0,244,03/08/2023
21,0,128,135,0,245,03/08/2023
22,0,126,133,0,250,03/08/2023
23,0,127,132,0,251,03/08/2023
24,0,127,130,0,254,03/08/2023
1,0,133,134,0,253,04/08/2023
2,0,132,131,0,253,04/08/2023
3,0,131,132,0,255,04/08/2023
4,0,132,130,0,253,04/08/2023
5,0,129,126,0,252,04/08/2023
6,0,128,128,0,252,04/08/2023
7,0,130,128,0,253,04/08/2023
8,0,128,129,0,254,04/08/2023
9,0,131,130,0,250,04/08/2023
10,0,131,131,0,252,04/08/2023
11,0,128,131,0,250,04/08/2023
12,0,128,128,0,250,04/08/2023
13,0,131,132,0,245,04/08/2023
14,0,129,125,0,240,04/08/2023
15,0,127,123,0,235,04/08/2023
16,0,127,127,0,238,04/08/2023
17,0,129,132,0,232,04/08/2023
18,0,128,128,0,227,04/08/2023
19,0,128,127,0,230,04/08/2023
20,0,127,129,0,238,04/08/2023
21,0,128,125,0,238,04/08/2023
22,0,127,124,0,243,04/08/2023
23,0,128,125,0,249,04/08/2023
24,0,126,126,0,250,04/08/2023
1,0,129,125,0,250,05/08/2023
2,0,125,127,0,250,05/08/2023
3,0,129,129,0,253,05/08/2023
4,0,126,129,0,252,05/08/2023
5,0,128,129,0,251,05/08/2023
6,0,126,130,0,250,05/08/2023
7,0,126,130,0,251,05/08/2023
8,0,125,130,0,249,05/08/2023
9,0,124,128,0,247,05/08/2023
10,0,122,127,0,250,05/08/2023
11,0,123,127,0,252,05/08/2023
12,0,125,128,0,252,05/08/2023
13,0,126,130,0,249,05/08/2023
14,0,126,125,0,249,05/08/2023
15,0,127,125,0,253,05/08/2023
16,0,125,127,0,252,05/08/2023
17,0,126,129,0,251,05/08/2023
18,0,129,130,0,247,05/08/2023
19,0,130,127,0,250,05/08/2023
20,0,124,125,0,250,05/08/2023
21,0,124,125,0,250,05/08/2023
22,0,128,124,0,249,05/08/2023
23,0,126,129,0,246,05/08/2023
24,0,129,130,0,248,05/08/2023
1,0,127,132,0,250,06/08/2023
2,0,129,133,0,246,06/08/2023
3,0,128,131,0,244,06/08/2023
4,0,129,130,0,242,06/08/2023
5,0,126,127,0,245,06/08/2023
6,0,127,127,0,247,06/08/2023
7,0,127,127,0,246,06/08/2023
8,0,127,126,0,246,06/08/2023
9,0,127,128,0,252,06/08/2023
10,0,129,131,0,249,06/08/2023
11,0,130,129,0,251,06/08/2023
12,0,129,129,0,251,06/08/2023
13,0,132,127,0,253,06/08/2023
14,0,131,126,0,250,06/08/2023
15,0,129,127,0,254,06/08/2023
16,0,128,129,0,252,06/08/2023
17,0,127,128,0,251,06/08/2023
18,0,125,128,0,251,06/08/2023
19,0,127,127,0,250,06/08/2023
20,0,126,128,0,250,06/08/2023
21,0,121,126,0,250,06/08/2023
22,0,122,124,0,247,06/08/2023
23,0,123,127,0,249,06/08/2023
24,0,125,128,0,252,06/08/2023
1,0,128,131,0,250,07/08/2023
2,0,128,128,0,251,07/08/2023
3,0,128,126,0,251,07/08/2023
4,0,126,128,0,250,07/08/2023
5,0,128,129,0,250,07/08/2023
6,0,122,129,0,248,07/08/2023
7,0,122,128,0,250,07/08/2023
8,0,123,128,0,252,07/08/2023
9,0,124,127,0,252,07/08/2023
10,0,18,122,0,250,07/08/2023
11,0,0,124,0,253,07/08/2023
12,0,0,127,0,252,07/08/2023
13,0,0,130,0,251,07/08/2023
14,0,0,133,0,250,07/08/2023
15,0,0,132,0,251,07/08/2023
16,0,0,130,0,253,07/08/2023
17,0,0,124,0,250,07/08/2023
18,0,0,124,0,249,07/08/2023
19,0,0,129,0,248,07/08/2023
20,0,0,123,0,250,07/08/2023
21,0,0,127,0,250,07/08/2023
22,0,0,127,0,249,07/08/2023
