Ndotësit e emetuar nga TC A,,,,,,,,,,,,,,,
TC A,2019,,,,,2018,,,,,2017,,,,
Muaji,Bruto gjenerimi i realizuar i EE [MWh],Thëngjilli i shpenzuar [t],SO [kg] Mes. 1686 [kg/MWh],NOx [kg] Mes. 3167 [kg/MWh],CO [kg] Mes. 1180 [kg/MWh],Bruto gjenerimi i realizuar i EE [MWh],Thëngjilli i shpenzuar [t],SO [kg] Mes. 1686 [kg/MWh],NOx [kg] Mes. 3167 [kg/MWh],CO [kg] Mes. 1180 [kg/MWh],Bruto gjenerimi i realizuar i EE [MWh],Thëngjilli i shpenzuar [t],SO [kg] Mes. 1686 [kg/MWh],NOx [kg] Mes. 3167 [kg/MWh],CO [kg] Mes. 1180 [kg/MWh]
Janar,183 282,278 588,309 013,580 454,216 272 545,112 557,171 087,165 122,400 592,144 411 247,182 191,276 930,267 274,648 417,233 750 866
Shkurt,163 644,248 740,275 905,518 262,193 100 486,162 759,247 394,238 768,579 260,208 820 143,157 099,238 790,230 464,559 114,201 557 633
Mars,196 373,298 488,331 086,621 914,231 720 584,218 633,332 322,320 735,778 115,280 506 139,183 282,278 588,268 874,652 300,235 150 572
Prill,170 190,258 689,286 941,538 993,200 824 506,176 736,268 639,259 272,629 004,226 752 337,176 736,268 639,259 272,629 004,226 752 337
Maj,173 463,263 664,292 459,549 358,204 686 516,183 282,278 588,268 874,652 300,235 150 572,182 191,276 930,267 274,648 417,233 750 866
Qershor,176 736,268 639,297 977,559 723,208 548 525,130 916,198 992,192 053,465 929,167 964 694,176 736,268 639,259 272,629 004,226 752 337
Korrik,176 736,268 639,297 977,559 723,208 548 525,160 372,243 765,235 265,570 762,205 756 750,183 282,278 588,268 874,652 300,235 150 572
Gusht,176 736,268 639,297 977,559 723,208 548 525,252 012,383 059,369 702,896 912,323 332 036,183 282,278 588,268 874,652 300,235 150 572
Shtator,170 190,258 689,286 941,538 993,200 824 506,175 100,266 151,256 871,623 179,224 652 779,175 645,266 981,257 671,625 121,225 352 631
Tetor,176 736,268 639,297 977,559 723,208 548 525,220 920,335 798,324 090,786 254,283 440 422,182 191,276 930,267 274,648 417,233 750 866
Nentor,170 190,258 689,286 941,538 993,200 824 506,176 736,268 639,259 272,629 004,226 752 337,175 645,266 981,257 671,625 121,225 352 631
Dhjetor,176 736,268 639,297 977,559 723,208 548 525,180 009,273 614,264 073,640 652,230 951 455,180 009,273 614,264 073,640 652,230 951 455
Total,2 111 014,3 208 741,3 559 169,6 685 581,2490 996 275,2 150 032,3 268 048,3 154 097,7 651 963,2758 490 912,2 138 288,3 250 198,3 136 868,7 610 167,2743 423 340
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
