Ndotësit e emetuar nga TC B,,,,,,,,,,,,,,,
TC B,2019,,,,,2018,,,,,2017,,,,
Muaji,Bruto gjenerimi i realizuar i EE [MWh],Thëngjilli i shpenzuar [t],SO [kg] Mes. 1686 [kg/MWh],NOx [kg] Mes. 3167 [kg/MWh],CO [kg] Mes. 1180 [kg/MWh],Bruto gjenerimi i realizuar i EE [MWh],Thëngjilli i shpenzuar [t],SO [kg] Mes. 1686 [kg/MWh],NOx [kg] Mes. 3167 [kg/MWh],CO [kg] Mes. 1180 [kg/MWh],Bruto gjenerimi i realizuar i EE [MWh],Thëngjilli i shpenzuar [t],SO [kg] Mes. 1686 [kg/MWh],NOx [kg] Mes. 3167 [kg/MWh],CO [kg] Mes. 1180 [kg/MWh]
Janar,408 320,498 150,744 776,1 441 370,439 760 640,422 105,514 969,555 913,1 480 746,467 692 845,393 807,480 445,518 644,1 381 476,436 338 378
Shkurt,366 860,447 569,669 153,1 295 016,395 108 220,366 146,446 698,482 214,1 284 440,405 689 757,353 984,431 860,466 197,1 241 776,392 214 272
Mars,414 000,505 080,755 136,1 461 420,445 878 000,393 533,480 110,518 283,1 380 514,436 034 564,393 807,480 445,518 644,1 381 476,436 338 378
Prill,237 080,289 238,432 434,836 892,255 335 160,323 010,394 073,425 405,1 133 120,357 895 523,285 400,348 188,375 871,1 001 182,316 222 757
Maj,199 360,243 219,363 633,703 741,214 710 720,393 807,480 445,518 644,1 381 476,436 338 378,393 807,480 445,518 644,1 381 476,436 338 378
Qershor,192 640,235 021,351 375,680 019,207 473 280,190 266,232 125,250 581,667 455,210 815 171,380 533,464 250,501 162,1 334 909,421 630 342
Korrik,207 840,253 565,379 100,733 675,223 843 680,199 116,242 922,262 236,698 499,220 620 528,230 090,280 709,303 028,807 154,254 939 277
Gusht,208 320,254 150,379 976,735 370,224 360 640,196 904,240 222,259 322,690 738,218 169 189,159 293,194 337,209 789,558 799,176 496 422
Shtator,397 470,484 913,724 985,1 403 069,428 075 190,190 266,232 125,250 581,667 455,210 815 171,316 373,385 975,416 664,1 109 837,350 541 506
Tetor,352 640,430 221,643 215,1 244 819,379 793 280,196 904,240 222,259 322,690 738,218 169 189,393 807,480 445,518 644,1 381 476,436 338 378
Nentor,339 300,413 946,618 883,1 197 729,365 426 100,378 320,461 551,498 248,1 327 148,419 179 003,258 851,315 798,340 907,908 049,286 806 686
Dhjetor,414 120,505 226,755 355,1 461 844,446 007 240,393 807,480 445,518 644,1 381 476,436 338 378,393 807,480 445,518 644,1 381 476,436 338 378
Total,3 737 950,4 560 299,6 818 021,13 194 964,4025 772 150,3 644 186,4 445 906,4 799 392,12 783 803,4037 757 696,3 953 559,4 823 342,5 206 837,13 869 084,4380 543 150
,,,,,,,,,,,,,,,
